dataset,share_name,description,sync,recordsize,compression,atime,acl_type,owner,group,permissions
docker/paperless-ngx/data,paperless-ngx-data,Paperless-ngx document storage,standard,128K,lz4,off,POSIX,1000,1000,770
docker/paperless-ngx/db,paperless-ngx-db,Paperless-ngx database (PostgreSQL),standard,16K,lz4,off,POSIX,999,999,770
docker/paperless-ngx/media,paperless-ngx-media,Paperless-ngx media files and thumbnails,standard,128K,lz4,off,POSIX,1000,1000,770
docker/paperless-ngx/export,paperless-ngx-export,Paperless-ngx document exports,standard,128K,lz4,off,POSIX,1000,1000,770
docker/paperless-ngx/consume,paperless-ngx-consume,Paperless-ngx document intake directory,standard,128K,lz4,off,POSIX,1000,1000,770
docker/appdata,docker-appdata,General Docker application data,standard,128K,lz4,off,POSIX,1000,1000,770
docker/config,docker-config,Docker container configuration files,standard,16K,lz4,off,POSIX,1000,1000,770
docker/logs,docker-logs,Docker container logs,standard,128K,lz4,off,POSIX,1000,1000,755
docker/portainer/data,portainer-data,Portainer persistent data,standard,128K,lz4,off,POSIX,1000,1000,770
docker/ollama/models,ollama-models,Ollama LLM models storage,standard,1M,lz4,off,POSIX,1000,1000,770
docker/ollama/data,ollama-data,Ollama application data and config,standard,128K,lz4,off,POSIX,1000,1000,770
docker/openwebui/data,openwebui-data,Open WebUI application data and uploads,standard,128K,lz4,off,POSIX,1000,1000,770
docker/openwebui/db,openwebui-db,Open WebUI database (SQLite),standard,16K,lz4,off,POSIX,1000,1000,770
docker/grafana/data,grafana-data,Grafana dashboards and configuration,standard,128K,lz4,off,POSIX,472,472,770
docker/grafana/db,grafana-db,Grafana database (SQLite),standard,16K,lz4,off,POSIX,472,472,770
docker/prometheus/data,prometheus-data,Prometheus time-series database,standard,16K,lz4,off,POSIX,65534,65534,770
docker/prometheus/config,prometheus-config,Prometheus configuration files,standard,16K,lz4,off,POSIX,65534,65534,770
docker/searxng/data,searxng-data,SearXNG application data,standard,128K,lz4,off,POSIX,977,977,770
docker/searxng/config,searxng-config,SearXNG configuration files,standard,16K,lz4,off,POSIX,977,977,770
docker/immich/upload,immich-upload,Immich photo and video uploads,standard,1M,lz4,off,POSIX,1000,1000,770
docker/immich/library,immich-library,Immich processed library storage,standard,1M,lz4,off,POSIX,1000,1000,770
docker/immich/db,immich-db,Immich database (PostgreSQL),standard,16K,lz4,off,POSIX,999,999,770
docker/immich/model-cache,immich-model-cache,Immich ML model cache,standard,1M,lz4,off,POSIX,1000,1000,770
